T° Ambiental (°C) BRUTO,Velocidad del viento (KM/H),T° Ambiental (°C),Valor de tipo de suelo,Tipo de Suelo,PH Agua,PH Suelo,Humedad Suelo (%),Humedad Suelo Deseada (%),T° Suelo (°C),T° Suelo Deseada (°C),Análisis,Análisis valor
28,40,"12,78002378",7,Humíferos,12,10,"84,1",70,19,70,Desactivar Riego,0
12,34,"-0,936979786","4,1",Calizos,12,7,"34,54",41,14,20,Activar Riego,1
12,83,"-19,58145065",5,Mixto,2,6,"6,1",50,6,23,Activar Riego,1
21,5,"19,09750297",7,Humíferos,14,2,"19,7",70,14,15,Activar Riego,1
19,59,"-3,449464923",7,Humíferos,4,13,"36,5",70,7,15,Activar Riego,1
17,75,"-11,53745541",3,Arenoso,1,13,4,30,20,17,Desactivar Riego,0
13,31,"1,20451843",3,Arenoso,6,3,"5,5",30,14,17,Activar Riego,1
4,49,"-14,64447087","2,5",Arcillosos,14,6,"21,1",25,0,27,Activar Riego,1
12,33,"-0,5564803805","2,5",Arcillosos,0,7,"0,1",25,20,27,Activar Riego,1
28,17,"21,53151011","4,5",Pedregosos,12,13,"70,3",45,15,25,Desactivar Riego,0
9,31,"-2,79548157","2,5",Arcillosos,2,3,"1,6",25,2,27,Activar Riego,1
11,28,"0,3460166468",5,Mixto,12,9,"54,1",50,12,23,Desactivar Riego,0
38,31,"26,20451843","4,5",Pedregosos,5,13,"29,35",45,1,25,Activar Riego,1
10,33,"-2,55648038","4,5",Pedregosos,9,12,"48,7",45,25,25,Desactivar Riego,0
22,83,"-9,581450654",3,Arenoso,11,8,"26,5",30,20,17,Desactivar Riego,0
1,2,"0,2390011891",7,Humíferos,10,1,"7,1",70,7,15,Activar Riego,1
13,69,"-13,25445898",7,Humíferos,12,10,"84,1",70,6,15,Desactivar Riego,0
13,9,"9,575505351","4,5",Pedregosos,3,7,"9,55",45,7,25,Activar Riego,1
20,82,"-11,20095125",7,Humíferos,2,11,"15,5",70,18,15,Desactivar Riego,0
10,88,"-23,48394768",5,Mixto,9,0,"0,1",50,20,23,Activar Riego,1
-1,45,"-18,12247325","4,5",Pedregosos,6,6,"16,3",45,20,25,Activar Riego,1
11,85,"-21,34244946",5,Mixto,13,10,"65,1",50,4,23,Desactivar Riego,0
23,22,"14,62901308","4,5",Pedregosos,9,12,"48,7",45,20,25,Desactivar Riego,0
3,39,"-11,83947681",7,Humíferos,2,5,"7,1",70,12,15,Activar Riego,1
7,74,"-21,156956","2,5",Arcillosos,7,8,"14,1",25,21,27,Activar Riego,1
37,57,"15,31153389","4,5",Pedregosos,6,12,"32,5",45,9,25,Activar Riego,1
0,68,"-25,87395957","4,1",Calizos,13,5,"26,75",41,3,20,Activar Riego,1
27,48,"8,736028537",5,Mixto,5,11,"27,6",50,2,23,Activar Riego,1
40,18,"33,1510107","4,5",Pedregosos,4,1,"1,9",45,6,25,Activar Riego,1
18,2,"17,23900119","4,5",Pedregosos,9,8,"32,5",45,1,25,Activar Riego,1
30,80,"-0,4399524376",3,Arenoso,1,4,"1,3",30,9,17,Activar Riego,1
18,27,"7,726516052",5,Mixto,10,2,"10,1",50,10,23,Activar Riego,1
8,13,"3,053507729","4,1",Calizos,10,13,"53,4",41,13,20,Desactivar Riego,0
0,72,"-27,39595719","4,5",Pedregosos,3,9,"12,25",45,16,25,Activar Riego,1
7,44,"-9,741973841",7,Humíferos,4,10,"28,1",70,20,15,Desactivar Riego,0
15,79,"-15,05945303","4,1",Calizos,4,11,"18,14",41,17,20,Activar Riego,1
10,80,"-20,43995244","4,1",Calizos,4,7,"11,58",41,14,20,Activar Riego,1
25,86,"-7,72294887",3,Arenoso,5,2,"3,1",30,10,17,Activar Riego,1
33,45,"15,87752675","4,5",Pedregosos,6,11,"29,8",45,2,25,Activar Riego,1
30,13,"25,05350773","2,5",Arcillosos,10,8,"20,1",25,15,27,Activar Riego,1
15,65,"-9,732461356","4,1",Calizos,3,7,"8,71",41,12,20,Activar Riego,1
13,28,"2,346016647",7,Humíferos,10,11,"77,1",70,23,15,Desactivar Riego,0
21,53,"0,8335315101","2,5",Arcillosos,14,14,"49,1",25,23,27,Desactivar Riego,0
-2,25,"-11,51248514",7,Humíferos,14,12,"117,7",70,19,15,Desactivar Riego,0
8,74,"-20,156956",3,Arenoso,0,7,"0,1",30,7,17,Activar Riego,1
16,75,"-12,53745541",5,Mixto,14,13,"91,1",50,4,23,Desactivar Riego,0
30,65,"5,267538644","2,5",Arcillosos,8,1,"2,1",25,25,27,Activar Riego,1
21,87,"-12,10344828",3,Arenoso,0,6,"0,1",30,17,17,Desactivar Riego,0
27,19,"19,7705113","4,1",Calizos,9,5,"18,55",41,23,20,Desactivar Riego,0
